Designator,Val,Package,MidX,MidY,Rotation,Layer
LED1,CHG,LED_0402_1005Metric,-54.525000,-85.850000,90.000000,bottom
LED2,PWR,LED_0402_1005Metric,-60.575000,-85.825000,90.000000,bottom
LED3,A,LED_0402_1005Metric,-34.085000,-57.450000,90.000000,bottom
LED4,B,LED_0402_1005Metric,-58.100000,-36.600000,180.000000,bottom
LED5,C,LED_0402_1005Metric,-81.950000,-57.050000,90.000000,bottom
LED6,D,LED_0402_1005Metric,-58.175000,-79.075000,0.000000,bottom
MIKROBUS1,MIKROBUS_HOST_CONN,SOCKET MIKROBUS,-79.100000,-36.725000,90.000000,bottom
MIKROBUS2,MIKROBUS_HOST_CONN,SOCKET MIKROBUS,-36.050000,-36.725000,90.000000,bottom
MIKROBUS3,MIKROBUS_HOST_CONN,SOCKET MIKROBUS,-79.100000,-77.400000,-90.000000,bottom
MIKROBUS4,MIKROBUS_HOST_CONN,SOCKET MIKROBUS,-36.050000,-77.225000,-90.000000,bottom
R3,470,R_0402_1005Metric,-62.175000,-85.825000,90.000000,bottom
R15,2.2k,R_0402_1005Metric,-53.125000,-85.825000,-90.000000,bottom
R29,1k,R_0402_1005Metric,-58.025000,-33.375000,180.000000,bottom
R30,1k,R_0402_1005Metric,-32.150000,-57.425000,90.000000,bottom
R31,1k,R_0402_1005Metric,-84.300000,-57.025000,90.000000,bottom
R32,1k,R_0402_1005Metric,-58.175000,-80.425000,0.000000,bottom
R42,10k,R_0402_1005Metric,-53.950000,-29.325000,0.000000,bottom
R43,330,R_0402_1005Metric,-61.850000,-29.275000,180.000000,bottom
T1,SW_Push_Dual,PUSH_BUTTON,-41.625000,-57.200000,90.000000,bottom
T2,SW_Push_Dual,PUSH_BUTTON,-57.400000,-41.625000,0.000000,bottom
T3,SW_Push_Dual,PUSH_BUTTON,-73.100000,-57.275000,-90.000000,bottom
T4,SW_Push_Dual,PUSH_BUTTON,-57.725000,-72.000000,180.000000,bottom
T5,SW_Push_Dual,PUSH_BUTTON,-57.525000,-23.325000,180.000000,bottom
C1,1u,C_0402_1005Metric,42.975000,-35.575000,-90.000000,top
C2,100n,C_0402_1005Metric,48.275000,-35.475000,-90.000000,top
C5,1u,C_0402_1005Metric,49.800000,-64.975000,-90.000000,top
C16,10000p,C_0402_1005Metric,48.075000,-65.000000,-90.000000,top
C18,0.1u,C_0402_1005Metric,43.800000,-95.275000,90.000000,top
C19,2.2u,C_0402_1005Metric,54.275000,-72.475000,-90.000000,top
C20,2.2u,C_0402_1005Metric,59.225000,-77.750000,180.000000,top
C21,33p,C_0402_1005Metric,52.150000,-67.450000,0.000000,top
C22,47u,C_0805_2012Metric,69.100000,-75.150000,0.000000,top
C23,10p,C_0402_1005Metric,54.700000,-69.975000,0.000000,top
C24,300p,C_0402_1005Metric,52.275000,-68.700000,0.000000,top
C25,0.1u,C_0402_1005Metric,63.400000,-67.100000,-90.000000,top
C27,1u,C_0402_1005Metric,64.500000,-62.475000,-90.000000,top
C28,10000p,C_0402_1005Metric,64.525000,-60.250000,90.000000,top
C29,10p,C_0402_1005Metric,57.880000,-66.775000,180.000000,top
C30,22u,C_0603_1608Metric,62.000000,-62.025000,90.000000,top
C31,22u,C_0603_1608Metric,68.900000,-73.125000,0.000000,top
C32,10u,C_0603_1608Metric,50.450000,-61.250000,180.000000,top
C33,0.1u,C_0402_1005Metric,71.575000,-58.815000,-90.000000,top
C36,10u,C_0603_1608Metric,65.025000,-82.050000,0.000000,top
C40,10u,C_0603_1608Metric,69.075000,-49.650000,90.000000,top
C41,100n,C_0402_1005Metric,52.150000,-86.850000,0.000000,top
C49,22u,C_0603_1608Metric,49.000000,-68.475000,-90.000000,top
C55,1u,C_0402_1005Metric,64.475000,-67.100000,90.000000,top
